issue,suggested_specialty,name,area,current_specialty,google_category_raw,rating,reviews,place_id
MISMATCH,ميكانيكا,كراج سنايبر صبغ وحدادة وميكانيكا وحماية تغيم حراري,الشويخ الصناعية 2,بودي وصبغ,ورشة ميكانيكا سيارات,4.4,14,ChIJvxGTVK2bzz8R6K-GiVg3ia8
MISMATCH,قطع غيار,Al Badi used auto part scrap,الكويت,قير وفتيس,متجر قطع غيار سيارات,3.8,14,ChIJCwYf2bMJ0D8RdpQxWR-EQ_c
MISMATCH,وكيل,Sircar Auctionمزاد سيركار,العارضية الحرفية,كمبيوتر وتشخيص,مزاد السيارات,4.0,14,ChIJPZbu2BqRzz8RN4BMJpJTw0w
MISMATCH,وكيل,Kuwaitcar Premium Automative Seat Cover Co.,الشويخ الصناعية,دواسر وفرش,تاجر سيارات Seat,4.0,14,ChIJy92ZPCqbzz8RyiIUPl6aNXk
MISMATCH,وكيل,نشتري سيارات نشتري السيارات,الكويت,دواسر وفرش,تاجر سيارات مستعملة,4.8,14,ChIJW4N6t-Wbzz8RwbBpEeWHuXY
MISMATCH,وكيل,شركه وكالة للسيارات الكويت - سيارات مستعمله للبيع - WAKALAH COMPANY ( USED CARS FOR SALE,شويخ الصناعية 3,دواسر وفرش,تاجر سيارات مستعملة,4.4,14,ChIJy7ryRxebzz8Rs20YKJA-7TM
MISMATCH,قطع غيار,سكراب - فورد العز,النعايم,إكسسوارات,متجر لبيع أجزاء السيارات المستعملة,3.5,14,ChIJ52LVcmUJ0D8R3CdimqLI2zw
MISMATCH,فحص فني,الضمان الاهلي لفحص السيارات بالكمبيوتر,العارضية الحرفية,كمبيوتر وتشخيص,محطة فحص سيارات,5.0,13,ChIJsc3fpxeRzz8RbdnWsuCnc68
MISMATCH,قطع غيار,سكراب لاند الياباني كلاسيك,النعايم,إكسسوارات,متجر لبيع أجزاء السيارات المستعملة,3.8,13,ChIJwfB28b8J0D8RO4damEy0_W8
MISMATCH,قطع غيار,Motorcraft Alghanim Fahaheel Parts Center 2,الفحيحيل,بطاريات,متجر قطع غيار سيارات,4.0,13,ChIJz0_fP0wHzz8Rt9jLRQ2ZuaU
MISMATCH,كمبيوتر وتشخيص,تنجيد كشنات,الشويخ الصناعية,دواسر وفرش,خدمة ضبط السيارات,3.4,13,ChIJSXOiizKbzz8RxBOs0IezTEc
MISMATCH,إكسسوارات,Adnan Al-Khatib كشنات الخطيب,شويخ الصناعية 3,دواسر وفرش,متجر كماليات السيارات,4.0,13,ChIJYZ5oT6Wbzz8RQnmC5t8u7iM
MISMATCH,قطع غيار,DEXOL KUWAIT ديكسول - Automatic Transmission | Torque Converter | Valve body | Spare Parts,الشويخ الصناعية 3,بودي وصبغ,متجر قطع غيار سيارات,4.9,12,ChIJNZvcWqKbzz8RUmoi8TC8A84
MISMATCH,إكسسوارات,مركز الشعاع لحماية وتظليل السيارات,الشويخ الصناعية,تظليل وزجاج,متجر كماليات السيارات,3.8,12,ChIJtbg9TO2bzz8RDzxkG8zySl8
MISMATCH,قطع غيار,سكراب بن نخى,النعايم,قير وفتيس,متجر لبيع أجزاء السيارات المستعملة,3.1,12,ChIJGTmLLZwJ0D8Ra3dxzi10Nks
MISMATCH,قطع غيار,سكراب الرياض الدولي,الكويت,قير وفتيس,متجر لبيع أجزاء السيارات المستعملة,3.3,12,ChIJq2iIhvEJ0D8RoVgFHGYAOdU
MISMATCH,قطع غيار,ابراهيم محمد الجريوي,الكويت,إكسسوارات,متجر لبيع أجزاء السيارات المستعملة,3.7,12,ChIJ_WX8UbMJ0D8RIF9omQ3h5Yk
MISMATCH,إكسسوارات,مؤسسة الدانة الملكية,الشويخ الصناعية,دواسر وفرش,متجر كماليات السيارات,4.3,12,ChIJDVYcydabzz8RaQW8I_NVnmY
MISMATCH,تكييف,المركز الألماني كهرباء وتكييف,الشويخ الصناعية 3,كهرباء سيارات,خدمة إصلاح تكييف الهواء,3.8,11,ChIJuY2KSnCbzz8RkwSQV8MLjN4
MISMATCH,قطع غيار,Zf services,شويخ الصناعية 3,قير وفتيس,متجر قطع غيار سيارات,4.6,11,ChIJe90i9qOazz8RNNO1CUeFUWs
MISMATCH,وكيل,ماربيا موتورز,الري,دواسر وفرش,تاجر السيارات,4.5,11,ChIJy0SE90Sbzz8RSJDQcwU-ToA
MISMATCH,قطع غيار,سكراب الخالدية,النعايم,إكسسوارات,متجر لبيع أجزاء السيارات المستعملة,4.1,11,ChIJpZSDfmUJ0D8RCuUXCutyob8
MISMATCH,ميكانيكا,Major performance Garage,الشويخ الصناعية 1,كمبيوتر وتشخيص,ميكانيكي,4.9,10,ChIJYaBnOACbzz8RIFSXaFjrk4s
MISMATCH,إكسسوارات,مركز حماية و تظليل حراري للسيارات,الشويخ الصناعية,تظليل وزجاج,متجر كماليات السيارات,4.4,10,ChIJz5umK4Kbzz8R_3JbwScPenw
MISMATCH,وكيل,TopGear,الري (قريب من الشويخ),دواسر وفرش,تاجر سيارات,3.9,10,ChIJqzUtBc2bzz8R7VHMk07S5N4
MISMATCH,قطع غيار,كراج الأقصي,الكويت,إكسسوارات,متجر لبيع أجزاء السيارات المستعملة,3.6,10,ChIJ8--Rsk0I0D8Rl09TcfWW_YU
MISMATCH,ميكانيكا,كراج الأفضل لتصليح السيارات,الشويخ الصناعية 1,فرامل,ميكانيكي,4.6,9,ChIJRSxlu8ubzz8RIy4zC1Oj0h4
MISMATCH,إكسسوارات,محمد أشرف تاج الدين لتنجيد السيارات,شويخ الصناعية 3,دواسر وفرش,متجر كماليات السيارات,5.0,9,ChIJCckVP5aazz8RuMCnJ-shrio
MISMATCH,غسيل وتلميع,بنشر وكهرباء جمعية الوفرة بنشر متنقل الوفرة ونش الوفرة شركة كراج الزوير لتصليح سيارات,الوفرة,ونش وسحب,خدمة العناية الشاملة بالسيارة,4.5,8,ChIJE9ag789hzj8RkiUnxMRWkA4
MISMATCH,وكيل,Kuwait car,العارضية الحرفية,دواسر وفرش,تاجر سيارات Renault,4.1,8,ChIJeTCDpzWRzz8Rqh7ZI5pCPo0
MISMATCH,ميكانيكا,كهربائي جعفر JAFAR CAR ELECTRICAL A/C & MECHANIC SHOP,الشويخ الصناعية 3,كهرباء سيارات,خدمة إصلاح رادياتير السيارة,5.0,7,ChIJv1zLJgCbzz8RKXfuRdEhW5w
MISMATCH,قطع غيار,شركة مدينة الزيوت العالمية لبيع جميع انواع الاطارات,الشويخ الصناعية 3,تواير وبنشر,متجر قطع غيار سيارات,4.6,7,ChIJj34fHH2bzz8Rn_HDOUfR_ug
MISMATCH,فحص فني,كهرباءوبنشر المفك الفضي,الفروانية,تواير وبنشر,محطة فحص سيارات,4.3,7,ChIJ5RBS8gebzz8RJjujJZ8Rbbc
MISMATCH,كهرباء سيارات,مستر سيرفس جراج Mr. Service Garage,المهبولة,بطاريات,خدمة كهرباء سيارات,4.1,7,ChIJwTNqJAAJzz8RfrcbcnLgcDM
MISMATCH,ميكانيكا,Abdullah AL Kandri Al Wataniya Electrical Car Repair Co,الشويخ الصناعية,كهرباء سيارات,ميكانيكي,4.5,6,ChIJa9ocAYqbzz8R7oIm1iQxur4
MISMATCH,ميكانيكا,كراج منصور راديترات,الشويخ الصناعية 1,فرامل,خدمة إصلاح الرادياتير,4.3,6,ChIJN1hUUOObzz8R0uch2H5wC7k
MISMATCH,فحص فني,فحص اعطال السيارات بالكمبيوتر,خيطان,كمبيوتر وتشخيص,محطة فحص سيارات,4.7,6,ChIJ6cn4yDybzz8R1e-RkNmVjTk
MISMATCH,ميكانيكا,كراج بنميرا لاصلاح و تجديد معاونات هيدروليك سيارات,الشويخ الصناعية,كمبيوتر وتشخيص,ورشة ميكانيكا سيارات,4.2,6,ChIJe0YHjdebzz8RPp3xcMExPeM
MISMATCH,إكسسوارات,Key programing kuwait مفاتيح السيارات,الفحيحيل,دواسر وفرش,متجر كماليات السيارات,5.0,6,ChIJozWuHwMHzz8RRHbxfewCXO4
MISMATCH,تكييف,صيانه تكييف مركزي تصليح تكييف غسيل مركزي,المنقف,غسيل وتلميع,خدمة إصلاح تكييف الهواء,4.3,6,ChIJOZK3fxoJzz8Rya7s3XSilho
MISMATCH,ميكانيكا,لتصليح تجفيت تصفيه مكاين قيرات,الشويخ الصناعية 2,قير وفتيس,ورشة ميكانيكا سيارات,4.8,5,ChIJJw0ddMSazz8R8zqZ5-njzvA
MISMATCH,إكسسوارات,مؤسسة الأسباني لزينة السيارات,غرب ابو فطيرة الحرفية,دواسر وفرش,متجر كماليات السيارات,4.4,5,ChIJv74nAk-gzz8Rmz7SxKT2nN4
MISMATCH,قطع غيار,Rawan Company For The Retail Sale of Auto Parts And Accessories,الشويخ الصناعية,قير وفتيس,متجر قطع غيار سيارات,5.0,5,ChIJ-8n76Dybzz8Rl4R4NvUSkvM
MISMATCH,ميكانيكا,Al Noor Automotive electricals النور لكهرباء السيارات,الشويخ الصناعية,كهرباء سيارات,ميكانيكي,5.0,4,ChIJD6wWdQCbzz8RWBouTRdBAno
MISMATCH,وكيل,كراج نيسان -,الكويت,قير وفتيس,مورد سيارات نيسان,4.3,4,ChIJHXavd9gJ0D8RC19MLXvNzQw
MISMATCH,وكيل,معرض اديشن موتورز للسيارات,غرب ابو فطيرة الحرفية,ميكانيكا,تاجر سيارات,5.0,4,ChIJo8Dxgcihzz8RRe5dhLrgAKk
MISMATCH,إكسسوارات,تنجيد مقاعد السيارات,شرق,دواسر وفرش,متجر كماليات السيارات,5.0,4,ChIJlVtr-0uFzz8RjHB9N48U16A
MISMATCH,ميكانيكا,شركة الفخامة لصيانة السيارات (تكييف-ميكانيك-ميزان),الشويخ الصناعية 2,تكييف,ميكانيكي,5.0,3,ChIJ36MTRQCbzz8R0lpahaHUI0M
MISMATCH,غسيل وتلميع,تركيب حماية سيارات وتظليل حراري,الشويخ الصناعية 2,تظليل وزجاج,خدمة العناية الشاملة بالسيارة,5.0,3,ChIJpSrdxzqbzz8ROgY7DF-jETc
MISMATCH,ميكانيكا,طلباتك نت قطع غيار سيارات بريك قيرات مكاين,الشويخ الصناعية 2,قير وفتيس,ميكانيكي,4.7,3,ChIJnZ0JHMCazz8RBfLI_DKv_oY
MISMATCH,ميكانيكا,كهرباء وبنشر فواد ناصرFoad al naser Garages,السالمية,تواير وبنشر,ورشة ميكانيكا سيارات,5.0,3,ChIJgyLZVUedzz8R1Bpr_MBhNtQ
MISMATCH,ميكانيكا,كهرباء وبنشر المنار الذهبي,الفروانية,تواير وبنشر,ورشة ميكانيكا سيارات,3.7,3,ChIJO9qlZ_Obzz8R3LYLbMkBYuw
MISMATCH,كهرباء سيارات,لتصليح السيارات خيطان تواير بطاريات,خيطان,تواير وبنشر,ورشة إصلاح كهربائية,2.0,3,ChIJKRH95cSbzz8R0VoGdqueXHs
MISMATCH,ميكانيكا,ورشه طرمبه يدة قير,حولي,قير وفتيس,ميكانيكي,5.0,3,ChIJBx9h6JGczz8RCJYSb2yPDLw
MISMATCH,قطع غيار,Battery shop,المرقاب,بطاريات,متجر قطع غيار سيارات,4.0,3,ChIJfePU_puFzz8R_UIGeqi-Khg
MISMATCH,إكسسوارات,العلمية الخليجيه لتنجيد السيارات ولطراريدGulf International car and boat upholstery,الشويخ الصناعية,دواسر وفرش,متجر كماليات السيارات,4.7,3,ChIJ7-rB_4qbzz8Rtzg0CFKM8Lg
MISMATCH,إكسسوارات,Galaxy car,غرب ابو فطيرة الحرفية,دواسر وفرش,متجر كماليات السيارات,5.0,3,ChIJFa2w0zShzz8R24Tfre3TayU
MISMATCH,وكيل,زينة حمادة للسيارات صناعية الفحيحيل,الفحيحيل,إكسسوارات,تاجر سيارات,5.0,3,ChIJr3WYfwAHzz8RHU1T4SEUsLU
MISMATCH,ميكانيكا,كراج الديري,الشويخ الصناعية,فرامل,ورشة ميكانيكا سيارات,3.7,3,ChIJEy_U9zybzz8RM9RWdzq6lkM
MISMATCH,وكيل,Automak Showroom - معرض أوتوماك,الشويخ الغزالي,وكلاء وكالات,معرض سيارات,5.0,3,ChIJt0p1RgCFzz_ku95AdGLKBw
MISMATCH,ميكانيكا,Titan Auto Solutions Co,شرق الأحمدي,قير وفتيس,ميكانيكي,5.0,2,ChIJoSj4GyMHzz8RXbU5PawwAPw
MISMATCH,ميكانيكا,كراج الجيرات متنقل,الفحيحيل,قير وفتيس,ميكانيكي,3.0,2,ChIJ9f1LjoQHzz8Rthk52cdsP5A
MISMATCH,إكسسوارات,Al bayrak,غرب ابو فطيرة الحرفية,دواسر وفرش,متجر كماليات السيارات,5.0,2,ChIJvUdFmCihzz8RUca_nYzHKu4
MISMATCH,غسيل وتلميع,Bangla car polish and Painting,الشويخ,بودي وصبغ,محطة غسل سيارات,5.0,1,ChIJb112QACPzz8RzpWlvQ7S9dM
MISMATCH,تكييف,شركة أي سي لاصلاح كهرباء السيارت,الشويخ الصناعية 3,كهرباء سيارات,خدمة تكييف سيارات,5.0,1,ChIJ6cJ7IACbzz8RgmrMlBFM2N8
MISMATCH,زيوت وصيانة,بنشر وخدمه زيت الخراز,الشويخ الصناعية 3,تواير وبنشر,خدمة تغيير الزيت,5.0,1,ChIJeb6yNwCbzz8R6-IfjMACIAM
MISMATCH,ميكانيكا,بنشر ماستر,الشويخ الصناعية 1,تواير وبنشر,ميكانيكي,5.0,1,ChIJeRzoz3Cbzz8RkukAyprfjyI
MISMATCH,إكسسوارات,شاشات اندرويد لايتات زينون تظليل حراري,الشويخ الصناعية 3,تظليل وزجاج,متجر كماليات السيارات,2.0,1,ChIJtyAuAGabzz8REWA64E3sPP0
MISMATCH,ميكانيكا,بنشر شباب القاهرة,الفروانية,تواير وبنشر,ورشة ميكانيكا سيارات,5.0,1,ChIJO_VhT66bzz8RuPpHJH34Q4c
MISMATCH,إكسسوارات,ورشة تنجيد سيارات (دبي الذهبية),الجهراء المنطقة الصناعية قطعه 1,دواسر وفرش,متجر كماليات السيارات,5.0,1,ChIJ_7rfevT3zz8RoTd1qVMIdXE
MISMATCH,ميكانيكا,ورشة تصليح راديتر السيارات (مؤسسة مكة المكرمة),الجهراء المنطقة الصناعية قطعه 1,رادياتير,خدمة إصلاح الرادياتير,5.0,1,ChIJszWRRQv3zz8RYtRQ3AfyWy8
MISMATCH,وكيل,مؤسسه الريان لسيارات,غرب ابو فطيرة الحرفية,بيع وشراء,مزاد السيارات,5.0,1,ChIJMxOeLfOhzz8R8423tAt2f7g
MISMATCH,بطاريات,بنشر الطراد,المنقف,تواير وبنشر,متجر بطاريات سيارات,5.0,1,ChIJVR8yHwAHzz8RF9DAloaRdVw
MISMATCH,ميكانيكا,"ALGHEMLAS COMPANY FOR CAR ENGINES REPAIRING AC, DENTING AND PAINTIGN",شرق الأحمدي,بودي وصبغ,ميكانيكي,5.0,1,ChIJq5tDXAAHzz8R7gK0WdGKVGw
MISMATCH,قطع غيار,تنجيد كشنات سياره,الشويخ الصناعية,دواسر وفرش,متجر قطع غيار سيارات,3.0,1,ChIJDbQNx_2bzz8RrMzWa5TKwJo
MISMATCH,إكسسوارات,Saroor Car Cushion,شرق,دواسر وفرش,متجر كماليات السيارات,5.0,1,ChIJRctwdUiFzz8Rh3pZJb0KHUw
MISMATCH,قطع غيار,شركة الفخامة للسكراب,الكويت,إكسسوارات,متجر لبيع أجزاء السيارات المستعملة,5.0,1,ChIJl9KSoJgJ0D8RuYyofE5hKi0
MISMATCH,قطع غيار,مؤسسة عوهة لأعمال السكراب - حاجي مسعود,النعايم,زيوت وصيانة,متجر قطع غيار سيارات,5.0,1,ChIJ5X5WdCIJ0D8R5k9vp8bVQa8
MISMATCH,قطع غيار,Imdabdallah Zadran - Nissan Pathfinder Nativa,العبدلي,فرامل,متجر قطع غيار سيارات,1.0,1,ChIJnUwEPbEhxT8ReALt786pcf8
MISMATCH,ميكانيكا,مركز أر تي لتصليح ميكانيك وكهرباء السيارات الالماني والامريكي,الشويخ الصناعية 2,كهرباء سيارات,ميكانيكي,,0,ChIJKbKeXl6bzz8RWwjnVZ6cMtc
MISMATCH,ميكانيكا,Avenues phase 3&4 central Air conditioning plant room,الشويخ الصناعية 3,تكييف,مهندس ميكانيكي,,0,ChIJO73xJwCbzz8RDvzbVvkHfww
MISMATCH,فحص فني,ميكانيكي و كهربائي النورس,مدينة الكويت,كهرباء سيارات,محطة فحص سيارات,0.0,0,ChIJFbiZqGidzz8RKGvkoi_LV6E
MISMATCH,فحص فني,النجم الثنائي لفحص السيارات بالكمبيوتر,الجهراء المنطقة الصناعية قطعه 1,كمبيوتر وتشخيص,محطة فحص سيارات,0.0,0,ChIJyZq5cbP3zz8RGTte36_AOIw
MISMATCH,ميكانيكا,كراج محرك ماكينه جير,الشويخ الصناعية,قير وفتيس,ورشة ميكانيكا سيارات,0.0,0,ChIJi_Lj1pWbzz8R_JV4tuHKTU4
MISMATCH,ميكانيكا,JAGUAR RANG ROVER,اسطبلات الجهراء,قير وفتيس,ورشة ميكانيكا سيارات,0.0,0,ChIJNfIGIupVxT8R6kDBgc_pOrI
MISMATCH,إكسسوارات,Kuwait Alkhaleej Car Accessories,الفحيحيل,كمبيوتر وتشخيص,متجر كماليات السيارات,0.0,0,ChIJ8cvRz5QHzz8REIASalY5f5Y
MISMATCH,بودي وصبغ,كراج مؤسسة المسيلة,الكويت,إكسسوارات,مورد أجزاء هيكل السيارة,0.0,0,ChIJ0xhJQgAJ0D8ReVtbJgUU3v4
MISMATCH,قطع غيار,كراج امجد (AMJAD),Salmi,إكسسوارات,متجر لبيع أجزاء السيارات المستعملة,0.0,0,ChIJ8cxXrfoJ0D8R3dUd8g6h2y0
MISMATCH,بودي وصبغ,الاتحاد الدولي,Naeem,إكسسوارات,مورد أجزاء هيكل السيارة,0.0,0,ChIJicC5aAAJ0D8RgxnRhi7yhlY
MISMATCH,وكيل,اكسسوارات جمله سيرات,الشويخ الصناعية,إكسسوارات,تاجر سيارات,0.0,0,ChIJD5N5MQCbzz8RzY6Z-AIwv2s
NON_GARAGE,خراطة صناعية؟,حداد مظلات الكويت,الفروانية,بودي وصبغ,ورشة المعادن,4.0,6,ChIJ38Rfq8ETJE4RPymlLAJAnIk
NON_GARAGE,خراطة صناعية؟,شركة داماك المشتركة (كراج السيارات ),منطقة أمغرة صناعية,خراطة,ورشة الآلات,5.0,2,ChIJXXv3oOnzzz8RNrHf83k8_0I
NON_GARAGE,خردة,سكراب المطلاع,الجهراء,دواسر وفرش,ساحة خردة,3.9,454,ChIJY0wDh7IJ0D8RdsjDnGeSQQk
NON_GARAGE,تأجير — مش كراج,Winch crane ونش سطحة,صباح السالم,ونش وسحب,خدمة تأجير السيارات,4.9,31,ChIJBSqXE6yfzz8RJlnSG-Jx7Aw
NON_GARAGE,خراطة صناعية؟,Asian auto works (Indian garage),غرب ابو فطيرة الحرفية,خراطة,ورشة الآلات,5.0,10,ChIJSzK4OSahzz8R5759Sbat-YY
NON_GARAGE,خردة,مقبرة الاطارات,الجهراء,ونش وسحب,تاجر الخردة,2.1,52,ChIJKfznWsfxzz8Ry5Egh-YQsbY
NON_GARAGE,غير سيارات,KAEFER Kuwait General Trading & Contracting Company WLL,المنقف,ونش وسحب,مقاول مواد عازلة للكهرباء,4.7,31,ChIJLRbKgfsHzz8REwYi1WM6HLo
NON_GARAGE,تأجير — مش كراج,كبد ونش سطحه,كبد,ونش وسحب,خدمة تأجير السيارات,0.0,0,ChIJ-3APXwDBzz8R3mmWoDMVsCE
NON_GARAGE,موقف — مش كراج,ونش ادارة كويتيه,شويخ الصناعية 1,ونش وسحب,موقف سيارات,0.0,0,ChIJDyk2IQCbzz8Re1NrGQcvDiw
NON_GARAGE,مصنع — مش كراج,Osaka965 Garage,الشويخ الصناعية,ونش وسحب,مصنع السيارات,4.2,27,ChIJX3c-_hCbzz8R31sqv65H0p4
NON_GARAGE,مصنع — مش كراج,نشتري السيارات,شويخ الصناعية 3,دواسر وفرش,مصنع السيارات,4.4,14,ChIJFY6mgaGbzz8ROedkrBSWiuI
NON_GARAGE,خردة,Salmi Car scrap Yard,الكويت,إكسسوارات,أماكن تجميع الخردة,4.8,4,ChIJX7LMPQAJ0D8RuHaH-2n0M6k
NON_GARAGE,خردة,كراج زاهد GMC شفر,الكويت,إكسسوارات,أماكن تجميع الخردة,4.0,6,ChIJkV1I2fAJ0D8RngqSy091-RE
NON_GARAGE,خردة,Kwdc commercial yard,العبدلي,فرامل,أماكن تجميع الخردة,0.0,0,ChIJScx8OwAhxT8RQmP-cKIodVY
NON_GARAGE,تأجير — مش كراج,Automak Automotive Headoffice - شركة أوتوماك للسيارات,الشويخ الصناعية 1,وكلاء وكالات,تأجير سيارات,4.5,4,ChIJbbF1I1Kbzz-XCbWBGHWWEw
